2025-12-01 14:26:59,507 INFO    MainThread:96598 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2025-12-01 14:26:59,508 INFO    MainThread:96598 [wandb_setup.py:_flush():80] Configure stats pid to 96598
2025-12-01 14:26:59,508 INFO    MainThread:96598 [wandb_setup.py:_flush():80] Loading settings from /Users/alvinwang/.config/wandb/settings
2025-12-01 14:26:59,508 INFO    MainThread:96598 [wandb_setup.py:_flush():80] Loading settings from /Users/alvinwang/cs/Retrieval/src/wandb/settings
2025-12-01 14:26:59,508 INFO    MainThread:96598 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-12-01 14:26:59,508 INFO    MainThread:96598 [wandb_init.py:setup_run_log_directory():713] Logging user logs to /Users/alvinwang/cs/Retrieval/src/wandb/run-20251201_142659-08j22ejs/logs/debug.log
2025-12-01 14:26:59,508 INFO    MainThread:96598 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to /Users/alvinwang/cs/Retrieval/src/wandb/run-20251201_142659-08j22ejs/logs/debug-internal.log
2025-12-01 14:26:59,508 INFO    MainThread:96598 [wandb_init.py:init():840] calling init triggers
2025-12-01 14:26:59,508 INFO    MainThread:96598 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'term': 'independent economic value', 'type': 'zero_shot', 'num_sentences': 1522, 'label_map': {'no value': 0, 'potential value': 1, 'certain value': 2, 'high value': 3}, '_wandb': {}}
2025-12-01 14:26:59,508 INFO    MainThread:96598 [wandb_init.py:init():888] starting backend
2025-12-01 14:27:00,021 INFO    MainThread:96598 [wandb_init.py:init():891] sending inform_init request
2025-12-01 14:27:00,055 INFO    MainThread:96598 [wandb_init.py:init():899] backend started and connected
2025-12-01 14:27:00,062 INFO    MainThread:96598 [wandb_init.py:init():969] updated telemetry
2025-12-01 14:27:00,100 INFO    MainThread:96598 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2025-12-01 14:27:00,569 INFO    MainThread:96598 [wandb_init.py:init():1040] starting run threads in backend
2025-12-01 14:27:00,644 INFO    MainThread:96598 [wandb_run.py:_console_start():2504] atexit reg
2025-12-01 14:27:00,644 INFO    MainThread:96598 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2025-12-01 14:27:00,644 INFO    MainThread:96598 [wandb_run.py:_redirect():2421] Wrapping output streams.
2025-12-01 14:27:00,644 INFO    MainThread:96598 [wandb_run.py:_redirect():2444] Redirects installed.
2025-12-01 14:27:00,646 INFO    MainThread:96598 [wandb_init.py:init():1080] run started, returning control to user process
2025-12-01 14:27:01,800 INFO    MainThread:96598 [wandb_run.py:_finish():2270] finishing run alvinw2-carnegie-mellon-university/statutory-term-ndcg-eval/08j22ejs
2025-12-01 14:27:01,800 INFO    MainThread:96598 [wandb_run.py:_atexit_cleanup():2469] got exitcode: 0
2025-12-01 14:27:01,801 INFO    MainThread:96598 [wandb_run.py:_restore():2451] restore
2025-12-01 14:27:01,801 INFO    MainThread:96598 [wandb_run.py:_restore():2457] restore done
2025-12-01 14:27:03,061 INFO    MainThread:96598 [wandb_run.py:_footer_sync_info():3853] logging synced files
